Airport.Code,Airport.Name,Time.Label,Time.Month,Time.Month Name,Time.Year,Statistics.# of Delays.Carrier,Statistics.# of Delays.Late Aircraft,Statistics.# of Delays.National Aviation System,Statistics.# of Delays.Security,Statistics.# of Delays.Weather,Statistics.Carriers.Names,Statistics.Carriers.Total,Statistics.Flights.Cancelled,Statistics.Flights.Delayed,Statistics.Flights.Diverted,Statistics.Flights.On Time,Statistics.Flights.Total,Statistics.Minutes Delayed.Carrier,Statistics.Minutes Delayed.Late Aircraft,Statistics.Minutes Delayed.National Aviation System,Statistics.Minutes Delayed.Security,Statistics.Minutes Delayed.Total,Statistics.Minutes Delayed.Weather
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2011/10,10,October,2011,497,1226,1998,3,159,"Alaska Airlines Inc.,American Airlines Inc.,Allegiant Air",3,77,4811,25,23662,28575,14496,21742,62995,291,144770,45246
ORD,"Chicago, IL: O'Hare International",2004/03,3,March,2004,1120,1977,3786,2,635,"Delta Air Lines Inc.,Hawaiian Airlines Inc.,JetBlue Airways,Alaska Airlines Inc.,Frontier Airlines Inc.",5,146,9842,34,6036,16058,73237,72606,84367,1062,261663,30391
JFK,"New York, NY: John F. Kennedy International",2016/06,6,June,2016,950,1449,277,11,473,"Hawaiian Airlines Inc.,Sun Country Airlines,Spirit Airlines Inc.,Allegiant Air,United Air Lines Inc.,American Airlines Inc.",6,145,1534,37,28410,30126,3122,57780,118045,1393,200232,19892
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2019/02,2,February,2019,212,947,2097,9,310,"Delta Air Lines Inc.,Alaska Airlines Inc.,American Airlines Inc.",3,84,3797,8,14279,18168,67965,4113,30067,636,148085,45304
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2002/12,12,December,2002,98,2173,3400,14,711,"Delta Air Lines Inc.,American Airlines Inc.,Spirit Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Allegiant Air,Frontier Airlines Inc.",7,191,2468,47,22822,25528,61059,71325,13336,487,191203,44996
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2017/02,2,February,2017,518,764,3405,25,84,"JetBlue Airways,Frontier Airlines Inc.,Allegiant Air",3,295,511,25,26517,27348,4495,88925,71128,995,196133,30590
DEN,"Denver, CO: Denver International",2009/06,6,June,2009,194,2263,2000,16,627,"American Airlines Inc.,Delta Air Lines Inc.",2,226,6607,43,11198,18074,38962,72163,58005,135,218168,48903
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2019/03,3,March,2019,1646,742,1919,28,123,"JetBlue Airways,Frontier Airlines Inc.,Alaska Airlines Inc.,Allegiant Air,United Air Lines Inc.",5,292,3029,20,24927,28268,37043,38224,93001,1075,202456,33113
SFO,"San Francisco, CA: San Francisco International",2006/10,10,October,2006,1812,786,1228,20,325,"Southwest Airlines Co.,Allegiant Air,JetBlue Airways,Hawaiian Airlines Inc.,Delta Air Lines Inc.",5,60,4654,19,18745,23478,52381,95807,39443,1471,218892,29790
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2022/05,5,May,2022,1448,886,850,6,269,"Spirit Airlines Inc.,Frontier Airlines Inc.,Hawaiian Airlines Inc.,United Air Lines Inc.,Sun Country Airlines,Allegiant Air,JetBlue Airways",7,95,924,19,20596,21634,76185,83299,17888,744,194887,16771
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2007/07,7,July,2007,1280,1090,2026,6,314,"United Air Lines Inc.,Delta Air Lines Inc.,Sun Country Airlines,Frontier Airlines Inc.,Spirit Airlines Inc.,American Airlines Inc.",6,17,2136,30,9895,12078,39862,64099,8846,1138,141884,27939
BOS,"Boston, MA: Logan International",2007/10,10,October,2007,767,2044,2056,0,545,"Frontier Airlines Inc.,Delta Air Lines Inc.,Spirit Airlines Inc.,Sun Country Airlines,JetBlue Airways",5,158,4895,42,13214,18309,7630,65097,112805,151,228852,43169
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2012/02,2,February,2012,1809,2226,2215,20,57,"Delta Air Lines Inc.,Sun Country Airlines,Alaska Airlines Inc.,American Airlines Inc.,Allegiant Air,Frontier Airlines Inc.,Southwest Airlines Co.",7,213,5470,11,22333,28027,60769,26487,70402,399,185323,27266
LAX,"Los Angeles, CA: Los Angeles International",2014/02,2,February,2014,1454,521,2469,22,176,"American Airlines Inc.,Sun Country Airlines,JetBlue Airways,Alaska Airlines Inc.,Frontier Airlines Inc.,Spirit Airlines Inc.,Southwest Airlines Co.",7,258,8601,17,18715,27591,38937,79735,27375,213,157395,11135
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2000/09,9,September,2000,491,769,2577,5,400,"Spirit Airlines Inc.,Sun Country Airlines",2,59,9393,32,10691,20175,47418,82038,86685,272,219865,3452
SFO,"San Francisco, CA: San Francisco International",2023/03,3,March,2023,1346,1038,1956,24,445,"Hawaiian Airlines Inc.,Allegiant Air",2,253,7865,49,14013,22180,4646,54944,108120,1228,195111,26173
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2001/12,12,December,2001,891,2400,1809,14,9,"Spirit Airlines Inc.,Hawaiian Airlines Inc.,Delta Air Lines Inc.,Allegiant Air",4,151,1008,0,10362,11521,66810,60344,113513,1226,244185,2292
ORD,"Chicago, IL: O'Hare International",2023/02,2,February,2023,219,2066,1786,19,611,"United Air Lines Inc.,Alaska Airlines Inc.,Hawaiian Airlines Inc.",3,83,3660,12,20590,24345,9761,72938,91286,24,205680,31671
JFK,"New York, NY: John F. Kennedy International",2023/05,5,May,2023,583,626,786,13,561,"Spirit Airlines Inc.,JetBlue Airways,Southwest Airlines Co.,Alaska Airlines Inc.,American Airlines Inc.,Sun Country Airlines",6,39,8341,46,14050,22476,30831,38132,89729,1482,175785,15611
ORD,"Chicago, IL: O'Hare International",2022/05,5,May,2022,1732,626,3679,12,25,"Allegiant Air,Spirit Airlines Inc.",2,98,3707,50,10134,13989,35804,43174,110653,883,195086,4572
BOS,"Boston, MA: Logan International",2011/10,10,October,2011,1949,591,888,23,390,"Allegiant Air,United Air Lines Inc.",2,234,4718,30,9784,14766,22395,6938,36185,746,113989,47725
SFO,"San Francisco, CA: San Francisco International",2008/07,7,July,2008,1653,1269,3419,19,401,"American Airlines Inc.,Delta Air Lines Inc.",2,101,1540,39,21765,23445,7374,29038,74579,1257,144796,32548
BOS,"Boston, MA: Logan International",2012/12,12,December,2012,1424,1615,1154,27,793,"Spirit Airlines Inc.,Hawaiian Airlines Inc.,Alaska Airlines Inc.",3,262,9887,47,21933,32129,19416,17789,54785,694,124966,32282
DEN,"Denver, CO: Denver International",2010/10,10,October,2010,1968,1192,953,0,350,"Hawaiian Airlines Inc.,United Air Lines Inc.",2,55,6797,41,9044,15937,26110,92691,113456,1383,250045,16405
DEN,"Denver, CO: Denver International",2019/02,2,February,2019,1111,1873,2839,0,362,"Hawaiian Airlines Inc.,Allegiant Air,Sun Country Airlines,Alaska Airlines Inc.,Frontier Airlines Inc.,Spirit Airlines Inc.",6,286,1296,43,17111,18736,2688,46132,85492,43,157006,22651
ORD,"Chicago, IL: O'Hare International",2003/01,1,January,2003,1151,513,267,20,32,"Hawaiian Airlines Inc.,Frontier Airlines Inc.,Allegiant Air,American Airlines Inc.,United Air Lines Inc.",5,137,2490,20,27337,29984,77144,35019,116022,350,275756,47221
BOS,"Boston, MA: Logan International",2000/11,11,November,2000,754,322,3433,9,82,"Delta Air Lines Inc.,Southwest Airlines Co.",2,74,6352,1,21286,27713,43743,70596,107684,561,264198,41614
SFO,"San Francisco, CA: San Francisco International",2001/02,2,February,2001,1008,2077,3355,7,349,"Alaska Airlines Inc.,Hawaiian Airlines Inc.,Spirit Airlines Inc.,American Airlines Inc.",4,221,1796,17,19099,21133,59508,54638,37010,1839,197346,44351
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2011/08,8,August,2011,1749,340,3950,26,269,"American Airlines Inc.,Allegiant Air,Southwest Airlines Co.,Alaska Airlines Inc.",4,156,3551,24,28657,32388,52523,49955,85636,1360,218440,28966
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2022/02,2,February,2022,903,537,2552,23,163,"Sun Country Airlines,United Air Lines Inc.",2,247,8920,42,8280,17489,15178,46055,17932,772,120773,40836
SFO,"San Francisco, CA: San Francisco International",2004/04,4,April,2004,1789,2043,773,24,6,"Southwest Airlines Co.,JetBlue Airways,Alaska Airlines Inc.,Spirit Airlines Inc.,Hawaiian Airlines Inc.,Sun Country Airlines,American Airlines Inc.",7,178,9033,26,22726,31963,50190,23944,94214,1985,176787,6454
LAX,"Los Angeles, CA: Los Angeles International",2011/05,5,May,2011,1833,2112,1680,3,693,"JetBlue Airways,Southwest Airlines Co.,Delta Air Lines Inc.,Allegiant Air,Frontier Airlines Inc.",5,132,660,4,11474,12270,19913,57391,30830,1646,111574,1794
DEN,"Denver, CO: Denver International",2004/05,5,May,2004,1151,1468,3386,8,464,"Sun Country Airlines,Spirit Airlines Inc.,Southwest Airlines Co.,Allegiant Air,JetBlue Airways",5,54,5197,3,18235,23489,12304,68755,51443,1835,157888,23551
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2022/10,10,October,2022,1966,834,315,0,687,"United Air Lines Inc.,Frontier Airlines Inc.",2,193,2300,4,22309,24806,79913,87851,56544,1088,229976,4580
SEA,"Seattle, WA: Seattle-Tacoma International",2015/08,8,August,2015,426,109,2070,22,293,"Spirit Airlines Inc.,United Air Lines Inc.,Southwest Airlines Co.,Alaska Airlines Inc.,Sun Country Airlines,JetBlue Airways",6,116,5071,37,25216,30440,5556,83477,9123,933,115260,16171
LAX,"Los Angeles, CA: Los Angeles International",2021/05,5,May,2021,112,1544,1627,10,242,"Spirit Airlines Inc.,Allegiant Air,Alaska Airlines Inc.,Hawaiian Airlines Inc.",4,83,3066,35,15237,18421,73319,31340,52166,563,182998,25610
SFO,"San Francisco, CA: San Francisco International",2011/01,1,January,2011,788,2341,1426,10,65,"Delta Air Lines Inc.,Spirit Airlines Inc.,United Air Lines Inc.,Sun Country Airlines,Frontier Airlines Inc.",5,140,6938,27,14160,21265,9787,94613,68960,1072,177412,2980
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2012/04,4,April,2012,67,2158,2182,13,133,"Allegiant Air,United Air Lines Inc.,Delta Air Lines Inc.,JetBlue Airways,Spirit Airlines Inc.,American Airlines Inc.",6,233,3162,24,12553,15972,39911,40788,91372,1367,217610,44172
DEN,"Denver, CO: Denver International",2010/01,1,January,2010,1524,847,2307,6,345,"American Airlines Inc.,Delta Air Lines Inc.",2,150,4737,25,8994,13906,38155,78706,8026,1347,156157,29923
LAX,"Los Angeles, CA: Los Angeles International",2006/04,4,April,2006,307,2309,2537,30,494,"JetBlue Airways,Hawaiian Airlines Inc.,American Airlines Inc.,United Air Lines Inc.",4,50,8964,4,7015,16033,42745,60772,42399,1005,148730,1809
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2014/03,3,March,2014,1502,656,1386,6,523,"Southwest Airlines Co.,Hawaiian Airlines Inc.,Allegiant Air",3,168,9469,6,20020,29663,49484,47589,98861,54,203387,7399
DEN,"Denver, CO: Denver International",2011/09,9,September,2011,770,933,3731,17,581,"Delta Air Lines Inc.,Sun Country Airlines,Alaska Airlines Inc.,JetBlue Airways,United Air Lines Inc.,Southwest Airlines Co.",6,208,3873,36,19001,23118,79556,32424,30672,95,168426,25679
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2011/12,12,December,2011,1583,1585,185,3,94,"Frontier Airlines Inc.,Allegiant Air,Hawaiian Airlines Inc.,Sun Country Airlines",4,187,8636,19,13372,22214,63809,17453,105745,1144,190092,1941
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2022/05,5,May,2022,1405,1887,3766,29,101,"Alaska Airlines Inc.,Hawaiian Airlines Inc.,Sun Country Airlines,American Airlines Inc.,Frontier Airlines Inc.",5,129,5360,11,9688,15188,33416,33039,69020,1702,149086,11909
LAX,"Los Angeles, CA: Los Angeles International",2022/05,5,May,2022,1029,403,721,4,488,"Spirit Airlines Inc.,Sun Country Airlines,Southwest Airlines Co.,Hawaiian Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,American Airlines Inc.",7,131,2360,48,22647,25186,49247,41668,31685,1926,126082,1556
ORD,"Chicago, IL: O'Hare International",2010/12,12,December,2010,1990,1481,2199,13,412,"American Airlines Inc.,Southwest Airlines Co.,Hawaiian Airlines Inc.,Sun Country Airlines,United Air Lines Inc.,Allegiant Air",6,230,7245,38,27391,34904,40440,98543,98846,1246,278052,38977
BOS,"Boston, MA: Logan International",2009/01,1,January,2009,937,2474,2785,2,184,"Spirit Airlines Inc.,Alaska Airlines Inc.,Southwest Airlines Co.,Sun Country Airlines,JetBlue Airways,Delta Air Lines Inc.,American Airlines Inc.",7,255,9598,7,17337,27197,15375,16310,61118,592,132300,38905
LAX,"Los Angeles, CA: Los Angeles International",2005/02,2,February,2005,285,1854,789,3,372,"Hawaiian Airlines Inc.,Southwest Airlines Co.,Sun Country Airlines,Allegiant Air,United Air Lines Inc.",5,17,5403,3,18694,24117,41765,67462,14954,332,132187,7674
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2020/03,3,March,2020,988,1931,438,8,319,"JetBlue Airways,Allegiant Air",2,106,1874,28,14332,16340,1613,57557,69117,647,156361,27427
BOS,"Boston, MA: Logan International",2000/12,12,December,2000,931,933,237,13,216,"Alaska Airlines Inc.,Sun Country Airlines,Southwest Airlines Co.,Allegiant Air,Frontier Airlines Inc.,JetBlue Airways",6,267,5788,8,21237,27300,5037,6199,118382,180,144445,14647
DEN,"Denver, CO: Denver International",2022/08,8,August,2022,816,438,3730,17,469,"Alaska Airlines Inc.,Sun Country Airlines,Frontier Airlines Inc.",3,242,4559,17,17435,22253,77305,84308,100869,951,296875,33442
LAX,"Los Angeles, CA: Los Angeles International",2017/02,2,February,2017,1399,572,3132,10,506,"Frontier Airlines Inc.,United Air Lines Inc.,Southwest Airlines Co.,JetBlue Airways,Delta Air Lines Inc.,Allegiant Air",6,286,9378,25,11127,20816,65704,92437,71010,787,279250,49312
JFK,"New York, NY: John F. Kennedy International",2010/10,10,October,2010,1815,817,3537,30,497,"Spirit Airlines Inc.,Southwest Airlines Co.,Hawaiian Airlines Inc.,Allegiant Air,United Air Lines Inc.,Delta Air Lines Inc.",6,176,3136,4,27356,30672,18469,89350,59259,1691,206997,38228
ORD,"Chicago, IL: O'Hare International",2024/11,11,November,2024,872,1561,3814,26,177,"Southwest Airlines Co.,Hawaiian Airlines Inc.,Spirit Airlines Inc.,Allegiant Air,JetBlue Airways",5,234,8510,42,21788,30574,24804,35844,88604,1078,151515,1185
SFO,"San Francisco, CA: San Francisco International",2006/09,9,September,2006,491,1234,449,5,30,"JetBlue Airways,Delta Air Lines Inc.,Hawaiian Airlines Inc.,American Airlines Inc.,Frontier Airlines Inc.,Southwest Airlines Co.",6,106,7447,10,13342,20905,2763,15988,62727,1339,111913,29096
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2001/04,4,April,2001,1981,1391,2748,24,114,"Alaska Airlines Inc.,Frontier Airlines Inc.,Allegiant Air,JetBlue Airways",4,211,5250,3,22963,28427,34433,2246,54860,726,108436,16171
ORD,"Chicago, IL: O'Hare International",2011/01,1,January,2011,255,1057,1515,4,702,"Southwest Airlines Co.,Frontier Airlines Inc.,United Air Lines Inc.",3,127,3406,9,27526,31068,23611,95560,106354,495,274164,48144
SEA,"Seattle, WA: Seattle-Tacoma International",2021/08,8,August,2021,1011,1249,2913,12,152,"Spirit Airlines Inc.,Frontier Airlines Inc.,Sun Country Airlines,United Air Lines Inc.,Hawaiian Airlines Inc.,Delta Air Lines Inc.,American Airlines Inc.",7,120,5012,0,27243,32375,57648,79320,98875,62,283682,47777
DEN,"Denver, CO: Denver International",2015/01,1,January,2015,1060,563,2967,26,318,"American Airlines Inc.,Allegiant Air,Sun Country Airlines",3,140,4816,26,7664,12646,32698,72173,78860,554,201867,17582
ORD,"Chicago, IL: O'Hare International",2001/07,7,July,2001,419,826,2200,4,353,"Delta Air Lines Inc.,Alaska Airlines Inc.",2,90,9233,45,29923,39291,41623,54916,22579,1395,135875,15362
ORD,"Chicago, IL: O'Hare International",2010/07,7,July,2010,1444,2312,2592,20,0,"Sun Country Airlines,United Air Lines Inc.,Southwest Airlines Co.,Hawaiian Airlines Inc.,JetBlue Airways",5,293,9255,42,6558,16148,76263,19194,90434,439,200639,14309
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2018/11,11,November,2018,1295,1822,3128,3,200,"Hawaiian Airlines Inc.,Frontier Airlines Inc.,United Air Lines Inc.,JetBlue Airways",4,55,7956,5,22167,30183,24844,73838,15589,1235,135570,20064
SFO,"San Francisco, CA: San Francisco International",2015/03,3,March,2015,692,2119,2510,29,732,"Allegiant Air,Sun Country Airlines,American Airlines Inc.",3,33,7604,19,24806,32462,23648,73370,89101,1926,224788,36743
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2019/10,10,October,2019,1610,127,1789,4,42,"Southwest Airlines Co.,Delta Air Lines Inc.,Allegiant Air,Alaska Airlines Inc.,American Airlines Inc.,Spirit Airlines Inc.",6,82,2500,5,7484,10071,3578,43095,22341,1840,78173,7319
SEA,"Seattle, WA: Seattle-Tacoma International",2003/02,2,February,2003,819,1862,3809,17,724,"Hawaiian Airlines Inc.,JetBlue Airways,Alaska Airlines Inc.,Allegiant Air,Frontier Airlines Inc.,Southwest Airlines Co.",6,102,6839,41,8055,15037,24850,81294,4141,1584,141230,29361
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2017/01,1,January,2017,1840,220,2375,19,545,"Southwest Airlines Co.,Alaska Airlines Inc.,Delta Air Lines Inc.",3,77,4487,50,28867,33481,58784,52770,22683,268,148904,14399
DEN,"Denver, CO: Denver International",2021/08,8,August,2021,362,1388,1702,30,390,"Southwest Airlines Co.,JetBlue Airways,Spirit Airlines Inc.",3,31,4888,48,26824,31791,60809,16042,54238,1299,163313,30925
BOS,"Boston, MA: Logan International",2012/03,3,March,2012,1105,2253,2971,16,58,"Sun Country Airlines,Hawaiian Airlines Inc.",2,255,7468,12,28185,35920,71771,67054,14049,1543,185594,31177
SFO,"San Francisco, CA: San Francisco International",2014/09,9,September,2014,189,1466,3895,17,1,"American Airlines Inc.,Delta Air Lines Inc.",2,47,2348,25,21103,23523,20013,10448,3512,1352,71558,36233
JFK,"New York, NY: John F. Kennedy International",2000/03,3,March,2000,648,1070,1323,1,99,"JetBlue Airways,American Airlines Inc.,Southwest Airlines Co.,Spirit Airlines Inc.,Frontier Airlines Inc.",5,26,9724,38,19310,29098,26248,75934,61576,594,209884,45532
BOS,"Boston, MA: Logan International",2020/10,10,October,2020,139,1768,1279,0,657,"Southwest Airlines Co.,Spirit Airlines Inc.,Frontier Airlines Inc.,Hawaiian Airlines Inc.,United Air Lines Inc.",5,221,8310,32,11108,19671,52961,32073,15764,1643,111665,9224
JFK,"New York, NY: John F. Kennedy International",2009/05,5,May,2009,116,2141,3302,20,684,"Delta Air Lines Inc.,Southwest Airlines Co.",2,236,825,47,9223,10331,70488,28935,87846,1908,230640,41463
DEN,"Denver, CO: Denver International",2015/08,8,August,2015,1188,1973,2990,10,35,"Hawaiian Airlines Inc.,Southwest Airlines Co.,Alaska Airlines Inc.,United Air Lines Inc.",4,239,5957,39,14180,20415,15671,24642,79481,1668,153854,32392
BOS,"Boston, MA: Logan International",2015/08,8,August,2015,129,2358,2402,19,61,"Spirit Airlines Inc.,Delta Air Lines Inc.,United Air Lines Inc.,Sun Country Airlines,Alaska Airlines Inc.",5,130,6663,47,16764,23604,60269,46415,4433,355,138316,26844
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2005/03,3,March,2005,1221,939,3289,21,89,"Frontier Airlines Inc.,Sun Country Airlines,Hawaiian Airlines Inc.",3,242,8139,24,9757,18162,12013,23478,45152,1592,102471,20236
ORD,"Chicago, IL: O'Hare International",2019/01,1,January,2019,1779,87,1930,18,19,"Hawaiian Airlines Inc.,Delta Air Lines Inc.",2,221,8022,11,18273,26527,5388,21380,78152,841,118254,12493
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2000/07,7,July,2000,959,1937,3036,22,234,"Allegiant Air,American Airlines Inc.",2,289,1410,34,7913,9646,32297,88749,89073,813,232211,21279
LAX,"Los Angeles, CA: Los Angeles International",2017/04,4,April,2017,780,1375,1212,28,596,"Delta Air Lines Inc.,Sun Country Airlines,JetBlue Airways,Hawaiian Airlines Inc.,Alaska Airlines Inc.,Frontier Airlines Inc.,Spirit Airlines Inc.",7,226,2404,5,28702,31337,31819,50067,73900,414,164346,8146
LAX,"Los Angeles, CA: Los Angeles International",2013/11,11,November,2013,982,630,3682,15,749,"JetBlue Airways,American Airlines Inc.,Sun Country Airlines,Southwest Airlines Co.,Delta Air Lines Inc.,Spirit Airlines Inc.,Alaska Airlines Inc.",7,75,4897,4,18061,23037,15106,65980,101783,569,215871,32433
SEA,"Seattle, WA: Seattle-Tacoma International",2009/07,7,July,2009,927,172,1439,5,196,"Delta Air Lines Inc.,Southwest Airlines Co.,Spirit Airlines Inc.",3,227,3206,15,22403,25851,49060,64639,5505,585,126700,6911
DEN,"Denver, CO: Denver International",2015/09,9,September,2015,282,1379,1424,6,448,"JetBlue Airways,Allegiant Air,Hawaiian Airlines Inc.,Spirit Airlines Inc.,Alaska Airlines Inc.,Southwest Airlines Co.,American Airlines Inc.",7,74,9814,19,24644,34551,14111,73778,112755,171,201749,934
LAX,"Los Angeles, CA: Los Angeles International",2000/07,7,July,2000,713,1465,2284,18,188,"Frontier Airlines Inc.,Spirit Airlines Inc.,Allegiant Air,Hawaiian Airlines Inc.,Delta Air Lines Inc.,Sun Country Airlines,Southwest Airlines Co.",7,71,2467,2,19934,22474,79249,67091,69942,1925,238578,20371
BOS,"Boston, MA: Logan International",2007/01,1,January,2007,224,1644,2636,7,723,"Frontier Airlines Inc.,American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Sun Country Airlines,Allegiant Air",6,199,4326,43,21863,26431,78319,89536,32115,1635,201945,340
ORD,"Chicago, IL: O'Hare International",2009/07,7,July,2009,1397,633,915,18,352,"Spirit Airlines Inc.,Southwest Airlines Co.",2,155,8835,5,20960,29955,69514,93962,66698,261,230801,366
LAX,"Los Angeles, CA: Los Angeles International",2023/06,6,June,2023,1660,993,1127,19,345,"Allegiant Air,JetBlue Airways,Southwest Airlines Co.,Hawaiian Airlines Inc.,Spirit Airlines Inc.,Delta Air Lines Inc.",6,131,1470,12,29422,31035,35493,70863,59946,995,173795,6498
BOS,"Boston, MA: Logan International",2006/06,6,June,2006,354,272,3062,27,620,"Alaska Airlines Inc.,JetBlue Airways,Sun Country Airlines,American Airlines Inc.,Allegiant Air,United Air Lines Inc.,Spirit Airlines Inc.",7,243,6767,28,12422,19460,73686,69202,93869,776,279608,42075
SFO,"San Francisco, CA: San Francisco International",2019/04,4,April,2019,1294,2110,1160,17,612,"Hawaiian Airlines Inc.,United Air Lines Inc.,Spirit Airlines Inc.,American Airlines Inc.,Southwest Airlines Co.,Delta Air Lines Inc.,Frontier Airlines Inc.",7,182,6859,36,26298,33375,24580,48153,11241,1673,119278,33631
LAX,"Los Angeles, CA: Los Angeles International",2003/07,7,July,2003,693,959,188,1,780,"Sun Country Airlines,Frontier Airlines Inc.,Southwest Airlines Co.,American Airlines Inc.,United Air Lines Inc.",5,239,697,14,20412,21362,27650,49830,78142,315,160256,4319
SFO,"San Francisco, CA: San Francisco International",2016/12,12,December,2016,251,1144,3515,1,213,"Frontier Airlines Inc.,Sun Country Airlines",2,17,7363,46,14736,22162,71113,36033,22296,911,168301,37948
BOS,"Boston, MA: Logan International",2002/02,2,February,2002,479,454,2296,13,314,"Sun Country Airlines,Spirit Airlines Inc.,United Air Lines Inc.,Alaska Airlines Inc.,Hawaiian Airlines Inc.,Frontier Airlines Inc.,Allegiant Air",7,188,1300,47,11535,13070,78965,43830,83758,1666,250325,42106
DEN,"Denver, CO: Denver International",2003/07,7,July,2003,563,156,2411,23,257,"Allegiant Air,JetBlue Airways,Frontier Airlines Inc.,Sun Country Airlines",4,268,519,15,20806,21608,44403,26886,46758,855,159795,40893
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2012/07,7,July,2012,1543,1143,3113,2,421,"Sun Country Airlines,Delta Air Lines Inc.,Southwest Airlines Co.,Allegiant Air,Spirit Airlines Inc.,Alaska Airlines Inc.,United Air Lines Inc.",7,263,772,31,5442,6508,17758,51036,86661,1813,193196,35928
SFO,"San Francisco, CA: San Francisco International",2012/04,4,April,2012,1315,177,3305,23,757,"Alaska Airlines Inc.,Frontier Airlines Inc.,Delta Air Lines Inc.,United Air Lines Inc.,Sun Country Airlines,Spirit Airlines Inc.,Allegiant Air",7,95,1755,30,27633,29513,23641,32677,47807,176,123743,19442
LAX,"Los Angeles, CA: Los Angeles International",2011/09,9,September,2011,756,1103,1274,13,181,"Hawaiian Airlines Inc.,Southwest Airlines Co.",2,116,6484,24,21792,28416,3178,60275,57588,1228,147539,25270
DEN,"Denver, CO: Denver International",2024/10,10,October,2024,1919,757,3188,17,668,"Allegiant Air,Sun Country Airlines,Delta Air Lines Inc.,Frontier Airlines Inc.,Alaska Airlines Inc.",5,147,1674,2,22509,24332,76334,21223,102783,817,215824,14667
SEA,"Seattle, WA: Seattle-Tacoma International",2012/11,11,November,2012,1160,1605,2751,9,338,"JetBlue Airways,American Airlines Inc.,Alaska Airlines Inc.,Frontier Airlines Inc.,Hawaiian Airlines Inc.",5,204,7391,18,23206,30819,79181,78841,91355,732,259926,9817
ORD,"Chicago, IL: O'Hare International",2022/02,2,February,2022,1885,1712,3404,23,694,"Allegiant Air,Spirit Airlines Inc.,Delta Air Lines Inc.",3,14,2927,27,24165,27133,52781,66111,112107,52,259069,28018
SFO,"San Francisco, CA: San Francisco International",2011/10,10,October,2011,1377,70,2812,15,757,"Southwest Airlines Co.,JetBlue Airways,Hawaiian Airlines Inc.",3,106,9417,45,23796,33364,16261,90795,61754,1157,173473,3506
SEA,"Seattle, WA: Seattle-Tacoma International",2007/01,1,January,2007,287,618,459,1,761,"JetBlue Airways,Spirit Airlines Inc.",2,155,9084,16,29485,38740,5199,8744,78657,913,128336,34823
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2008/05,5,May,2008,240,405,2176,26,539,"Frontier Airlines Inc.,Allegiant Air,Alaska Airlines Inc.,Hawaiian Airlines Inc.",4,152,4845,19,17603,22619,47740,24388,31933,1544,110718,5113
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2012/10,10,October,2012,1367,1289,3529,25,620,"Sun Country Airlines,Alaska Airlines Inc.,JetBlue Airways,United Air Lines Inc.,Spirit Airlines Inc.,American Airlines Inc.,Southwest Airlines Co.",7,47,1789,21,21205,23062,78973,76710,106408,484,289068,26493
LAX,"Los Angeles, CA: Los Angeles International",2007/05,5,May,2007,1934,561,2704,8,779,"Southwest Airlines Co.,Allegiant Air",2,195,977,35,29783,30990,76072,33159,37259,835,178657,31332
JFK,"New York, NY: John F. Kennedy International",2023/11,11,November,2023,1278,2208,1754,8,740,"Hawaiian Airlines Inc.,Sun Country Airlines,Delta Air Lines Inc.,American Airlines Inc.,Alaska Airlines Inc.,United Air Lines Inc.",6,89,1015,22,20549,21675,26245,89330,45923,20,199940,38422
